user,community
detikcom,34
261038222,1
susipudjiastuti,1
1294475096,27
kangmanto123,27
1457515602604486656,1
ajengcute16__,1
arman_topbgt,1
1434676831651725312,35
frveminet,35
tnytyuns,35
278039207,36
gunromli,36
1212232556222935040,37
sahabatsaber,37
1234642183002525696,38
yang_muliapap,38
76876632,36
ngkongroses,36
1257683980880474112,3
949802443,11
metro_tv,11
277037713,24
mdy_asmara1701,24
1790008367693664256,1
gerindra,1
1739966249164320768,39
gyuiyuan,39
80559922,6
mariaalkaff_,40
1720665183188922368,12
a_forestama,12
mardigu024,27
758215573721407488,19
ahmadhasanalba2,19
1960349446069493760,1
katadatacoid,1
1764990607192449024,12
hansssolo,12
1079979219306696704,1
1016565175,17
mylovely_24,17
txtdrimedia,17
112710640,41
janissaryd_last,41
1795715799564656640,42
putrahunian,42
106881679,28
tomlembong,28
771095922436546560,43
kemdiktisaintek,43
1285935706070634496,44
6_arung,44
1917878133270933504,45
iouveissue,45
2289780648,7
1912031446191226880,2
haecarol_,2
tilehopper,2
1528986394206429184,25
808582626688712704,11
inilahdotcom,11
1641108207342067712,27
1705475303571861504,1
euginia323855,1
zulment,25
225975450,46
murtadhaone1,46
corbuzier,46
2283189500,28
megatop99,28
79117653,47
andhirarum,47
1973017289009315840,7
kinkin18051341,7
mbg_watch,7
1793880471862132736,4
ghost_rs48,4
respati722,4
24893875,1
hariqosatria,34
pco_ri,48
1370309552772505600,49
alcoholeus,49
2348139475,27
airindatanglagi,27
1701800013167554560,46
sociotalker,46
sjafriesjams,46
1725413776508497920,40
anakpinokio,40
330093386,2
1555584326490005504,50
txtfromhunian,50
pandji,12
tempodotco,50
1594845221728440320,9
bangsaygsujud,9
alie_fahnoor,9
bitcarli77,9
fdonghun,9
g3nx_files,9
gtobing2903,9
hasball18439385,9
ndons_back,9
tonybulumanu,9
yusufagro,9
1116943952253337600,34
1714823786137309184,51
eishtstern,51
1718518302,52
lagomse,52
1487106187585720320,23
1307764315550703616,53
guuudlak,53
everynay6,53
rjaneee_,53
1678043542403584000,54
gunslxinger,54
1790936744428556288,27
heraloebss,27
188240542,55
y_d_y_p,55
1098490562594844672,19
nvsblekn19ht,19
genznusantara,40
506981424,50
1415523704709156864,56
meowtifulday,56
arrrvins,12
gilnotgeel,12
1544307036904517632,57
prasuthon_,57
2776780333,1
904613821574144000,58
emakjulidd,58
yourneedsco,58
3158354773,59
nawacit4,59
1542388747660328960,60
syahdan_hbb,60
1068572960485662720,61
baiksekaliii,61
1469960470626897920,50
1319838177444556800,25
ngiungiungiu_,25
kogoromilenial,25
1828773800,1
setkabgoid,1
1373927661970493440,23
mmymurni,23
1552879420662132736,62
kemenkeuri,62
1968901364094042112,63
gadisberjilbabb,63
k3y0l,63
oxc0f,63
0kz0k,63
ce0z0,63
bnroker,63
lacndings,63
sz274c,63
cp645acelo,63
favctcheck,63
1331543655144775680,64
quokkaaraa,64
1941796336921399296,50
1726031471205588992,24
__pasmantap,24
nahdlatululama,24
1052797180442959872,62
dpr_ri,62
1645343140390526976,65
kadangsemangat,65
e100ss,65
1507769095152103424,50
bangsamsul_,50
thedufresne,50
1282167854272376832,27
lilacflint,27
hafizha_anisa,27
910456423,33
regar_op0sisi,33
1449862090827571200,66
polda_kaltara,66
divisihumaspolri,66
1068041963536957440,67
1488882824195149824,68
namjafaker,68
1718977929101864960,17
queenkarina20,17
17184908,23
era_gunawan,23
1594336954480734208,69
sukangeggas,69
nandoongg,69
starfess,69
973034624745000960,23
911470069128953856,36
ch_chotimah2,36
114142544,70
areanesia24,70
1348987504985133056,9
cak_kancil007,48
mimih6mei,9
kiwalipitu,9
99propaganda,9
are_inismyname,9
awikuchuz,9
1935168445576044544,36
divhumas_polri,36
983365547445239808,71
tsaritsanotame,71
1456970869805228032,25
16462506,72
justdading,72
1496042270524866560,14
joeparys,14
1753289596073545728,36
ds_yantie,36
1685447374498635776,73
revhle,73
826175394,74
xmbgx,74
1105349144304992256,67
hazimkahin,67
ernestprakasa,67
139681306,11
tirtoid,11
2547128168,75
dandhy_laksono,75
1913611417082814464,23
apocalypsoblitz,23
droendroen,24
muhamma87797214,24
prastow,24
2881298346,76
ogiehart,76
cnbcindonesia,77
1223939892989718528,78
takanetohana_,78
1569776038795948032,25
1878622560478543872,27
franken_blues,27
1567126710,12
hnirankara,12
1373926533518172160,23
kitasawa16,23
80279696,1
gojekmilitan,1
1680052893217591296,1
realdonaldtrump,1
213168371,1
1426518802330624000,1
dahnilanzar,1
1696072268622053376,40
blondfe,40
536057584,29
2932919034,27
billyazriel27,27
cindetr,27
246178041,1
sekcation,1
1841161779512295424,79
papa_loren,79
243567232,6
3028401210,80
yasuhow,80
vandhict,80
1414221186305728512,17
974100446699663360,81
askdika,81
ardjoe0704,12
1754787058395369472,6
sexy_killer404,6
1468558100261076992,82
gribyzz,82
1696027018641756160,40
1849310755797254144,40
indonesiajadi,40
1452061770672066560,34
1372857873043230720,14
praisea89258,14
1337791522322796544,3
cint_ankri,3
harumbgtt,3
kalistaram22004,3
1360106704520679424,44
1703895999339753472,16
nenkmonica,16
384292126,27
2603473554,1
agusmagelangan,1
1441314720435240960,12
asumsico,12
847658035,3
penikmathibura2,3
cnnindonesia,3
561081161,29
1221589522359545856,11
1919436647231586304,62
kpk_ri,62
kejaksaanri,62
ppatk,62
1468146634282332160,83
shenasheira,83
1629022323704487936,36
limpatrab,36
alfaruqo,36
seruanhl,36
urrangawak,36
denni_sauya,36
ary_praske2,36
anak__ogi,36
dcristnugroho,36
humorjontampan,36
marbot_udien,36
1699184086408142848,29
1511948926999732224,1
94587308,36
1712062684831891456,2
colleiilily,2
1823153224158728192,4
1555198236830613504,4
thamstg,4
avivnur_,4
pns_ababil,4
1250352886371864576,84
apasipasi,84
1539474221188886528,67
silvchndr,67
1876727402229026816,33
1728765683985735680,85
bifrost,85
ygtreasuremaker,85
pogicoded,85
wibisonoys,12
pramonoanung,12
742048481502629888,3
kumparan,23
1888606407769067520,50
1668178094035988480,25
960248512108576768,36
iinayaturahmah,36
385954080,27
1800712604425637888,1
239667488,36
972073449777541120,86
ilmiahkudo,86
1256457654064394240,87
131matchalatte,87
1563490407027453952,3
1835668063133589504,27
1968889593660588032,63
oxj0z,63
57513726,88
strawberrycet,88
1766477518784380928,23
1701958085193961472,89
updatecakrawala,89
1297885158721220608,2
1336576386987790336,1
1517511250082615296,40
baznasindonesia,40
1727928970346459136,90
akuntwiter968,90
971643322153365504,27
1686714088590561280,91
aimyyya,91
amina_mbg,91
2497819087,92
ericstohn,92
beefymeaty95,4
jstadongg,4
jerapahabuabu,4
hermawan_devina,4
181527809,1
ganjarpranowo,28
3148141098,93
samsarigged,93
1419466702333517824,36
gusjunun,36
1121303084339097600,17
persidafon_fans,17
2470729574,34
1630259743926403072,65
k_surakarta,65
1226448247,12
virgo1409271346,12
1503974151283146752,94
debbykartikaaa,94
fadlillah_izoel,40
your_boba28,40
1666490128704094208,29
goodrecom,29
1264496480,23
1720304366467571712,95
plisitin,95
1861650435058368512,96
maryshelparaiso,96
14910687,23
wisnu_prasetya,23
77702434,2
kemgelapan,2
1242521330974486528,12
anggara0042,12
pppuleee,12
memecomicindo,12
nasrudinese,12
1907936577814409216,25
1872468448854654976,1
sbmptnfess,1
1069224446496399360,97
candybabiess,97
830087634709942272,17
1234382668571148288,98
speciours,98
1495919148928765952,17
989182313064873984,36
whydryn,36
1069379591418957824,24
bitter_daddy,24
1468569796082290688,82
555944814,1
officialmkri,25
1242861010941181952,4
storytongkol,4
ketertibanumum,4
pejabrut,4
abdimuda_id,4
notulisrapat,4
guru_pns,4
yanuarnugroho,4
sofiesyarief,4
1844006572164542464,99
mantan_honorer,99
1079823132754493440,100
yunhoeitiz,100
1611740504156426240,48
mtubagusismail,48
1716914011663728640,19
1696718885024940032,40
jedteguh03,40
586489415,101
cursedkidd,101
1131520558116380672,36
1777597409809649664,36
zakiiar,36
antoniuscdn,36
billray2019,36
arziky28067,36
firzahusain,36
jhonsitorus_19,36
nhenryp29864,36
1923925703558561792,102
pedulicecil,102
495645005,4
2257379096,28
yaniarsim,28
dedeyusuff12,28
sendy_dedeyusuf,28
pdemokrat,28
2326672171,1
971225475107274752,103
myshawti,103
1167089353237000192,17
merapi_uncover,17
vaniepink,17
947861402089222144,1
278352515,104
lutfitamp,104
1508012681336586240,25
drupadawan,25
aliakraus3,25
ferizandra,25
1505921590134931456,105
bacottetangga__,105
3285190808,106
lutfthers,106
munvess,106
1501935757,25
701364523249184768,25
txtfromjogja,25
1791809340581806080,7
1604327300493111296,6
drevachaniago,6
64912394,12
konfestions,12
1365857709933821952,1
1069255831131025408,23
neveral0nely,23
1442083200507936768,23
minietweets_,9
1875787188748873728,29
1668886204190953472,83
1343966214,23
1656844400,17
1720453590064693248,107
mafiawasit,107
3291270248,105
tanyarlfes,105
58475457,29
1719343607243837440,36
ade745780,36
1428762112453611520,108
winwteor,108
danycahyono,12
kemenagjateng,12
545697681,1
dedimulyadi71,1
46523425,62
ombudsmanri137,62
bpom_ri,62
komnas_anak,62
dpdri,62
bpkri,62
kemenkesri,62
bpkn_ri,62
riekediahp,62
cakiminow,62
kpai_official,62
abe_mukti,62
kemdikdasmen,62
kpp_pa,62
kemensetnegri,9
idai_tweets,62
1437422527744135168,50
12hc4f,50
365769818,34
txtdaritng,34
982117125081845760,13
1709419397021093888,25
1426408370362150912,62
bjitubangjohn,12
53656332,24
1286436610867900416,14
vanillacrusz,14
zak_mbg,14
1742328223919398912,6
1682568653924077568,48
rickykardjono,48
1788586490299338752,46
avocadosion,46
bebysosweet,46
1252915441816629248,109
danseidesuyo,109
aremifaso,109
700802414,110
aerinoree,110
1282947962151133184,111
macanbobok,111
283986474,17
719200698,17
1602836530841587712,112
sodik_20,112
saham_fess,112
174112099,105
snowmarkiess,105
1739911980532617216,14
1906185725865005056,17
1816303493940142080,34
partaisocmed,34
1908846671246835712,113
247spop,113
1828375352760246272,3
geloraco,3
1610106930105843712,114
gagarmahyang,114
864906534,34
97646351,4
betaepsilonphi,4
ysfrif,4
1428041954898546688,36
anggrek_13,36
1112936622322929664,115
kanseulir,115
akiakieko,115
30648872,1
1102872671631507456,77
honeeyyda,77
1086651551232319488,48
frprayogo,48
1200914690034978816,25
foodfess2,25
177172689,40
vickih_worsnop,40
nek0pai,40
idextratime,40
1593420271431880704,62
1813050581197725696,27
1636755978124398592,13
dyhoktvni,13
enongkhairi,13
1488569234254970880,14
2443257541,117
kiorcally,117
1627168822661890048,118
miraclevanter,118
1134390623581007872,75
1066350709455503360,18
kegblgnunfaedh,18
105077210,65
342610413,119
prnwulan,119
371649064,77
morphomenelausx,77
1910457576606883840,34
tegarpamun41961,89
4184979312,36
b3doel___,36
427264897,77
titimaharni1,77
indotroll_id,77
aficurtis,25
1717302478021312512,1
1467042233845043200,48
newiding30,36
radjarasta_,48
tealnaitahe,48
pieter_sun01,48
kangroma13,48
erikacyla,48
mas_inxz76,48
masyanto_313,48
horastondi03,48
damanikazh47585,48
bungalotus25,48
wineasybiin,48
eddylana5,48
71118065,120
sepertiterang,120
bookclub_smg,120
hardye76,27
1190584193861836800,121
txttransportasi,121
464491554,122
wwwprojekt,122
2781902126,123
balebengong,123
1912476279128920064,14
jennysleazey,14
keyboardmonkey3,14
1117741102641995776,124
dhmsgstwn,124
3817256234,105
1929252872312815616,77
hanan052020,77
1549466955689512960,25
primaprisma,25
1310973200411500544,125
deflezct,125
doyoungmenteng,125
2243301883,126
stockmapping,126
1469895292333948928,11
1379158685797126144,25
2183649746,127
seputartetangga,127
300800335,119
budibukanintel,119
1783709624878981120,1
999280082,23
1108641855309115392,128
ikanikanikanyaw,128
um_fess,128
490300879,19
randomable_,19
1005738212034113536,2
635554584,23
2862109627,24
kyoukai691,23
zhil_arf,24
2683801656,46
susno2g,46
1646012169170071552,82
1620404081817948160,3
1683510701174980608,3
131bin,25
1923192764113747968,46
ryo59749723,46
798811626,2
politisitidurr,2
3149427534,129
raffimulyaa,129
1047343156944023552,25
byasapol,25
aggravatingg,25
1763998472460742656,40
lexwu_13,40
2320223304,130
ariefbrain,130
cozyaltruis,130
1039849431384842240,1
1606607443571929088,131
mayostar13,131
sipalingjftai,131
2709905130,132
infobmkgpapua,132
laolao_papua,132
1606051450874130432,133
ugm_fess,133
1265555938100105216,134
juyeonc,134
518763223,25
narkosun,13
1922472351188582400,1
nicho_silalahi,1
bang_dasco,1
1580141806792019968,28
1321322588132364288,27
728949641421553664,36
1603571644030939136,9
officialbin_ri,9
1796475999313629184,62
1265661700658757632,18
1357840314019450880,34
1553279597281546240,23
1167490708090966016,1
profesorzubairi,1
1601059954298855424,135
abdulsoburalao,135
912692135446536192,23
1440129524704808960,24
1542863627962957824,40
kiharani,40
1941106872309661696,136
skyviewrs,136
1396597756001619968,137
kindsunbear,137
kedirifess,137
1113656833,138
abcdarthk,138
859028267906416640,50
1603629878351646720,25
2214985886,16
kyaimblebes,16
1479312146227818496,139
tunnov,139
1800466616804667392,14
carfarmer001,14
1677082967162900480,50
tom5helby,50
1805518805764128768,25
3025201238,25
1021701001760264192,140
erlamsdio,140
hangyulpadamu,140
1373933350423990272,36
cho_minyeow,36
2222720784,17
1616451045051469824,41
d_0nly,41
4000163894,12
aufsoleh,12
alfatih68,12
znors3adji,12
mazzini_gsp,12
1125224467536310272,1
1582339455653883904,141
windekind_budi,141
249336987,1
1927971935746736128,105
ellrplane,105
1329775894064336896,29
penjagamenara,29
737109074517450752,65
helodud,48
717163508920504320,3
80752178,95
shintaeffendi,95
irasjafii,95
2993706412,142
joshedits,142
1971238169577201664,143
__love_ag4ever,143
1314408668167692288,17
mas_aro,17
1779468583426498560,144
ryoubies,144
1615930678482472960,25
902474957719928832,13
565441233,145
jing_haoo,145
1603774374792007680,1
227231767,146
jek___,146
1659026628071288832,147
sinaddddddd,147
1119744609007980544,1
jayabay19479190,1
106988383,119
andikamalreza,119
1744168234482577408,148
marchfoward,148
1611367898387468288,149
babangcat,149
profesor_saham,149
pwardana2000,12
resir014,12
salam4jari,95
paltihutabarat,12
bpjskesehatanri,12
partburunggalak,12
1389082210452443136,1
tanyabiartahu,12
1418410265368961024,3
162059920,62
mprgoid,62
kemensosri,62
1763837815006400512,40
kompastv,40
1777012724977041408,25
1381820144997965824,150
whitecosmosss,150
cepluz,23
persayphone,23
1765663580047986688,16
wahyujoe558345,16
luccasmorea,16
zanatul_91,16
1788437470364983296,151
raykairi,151
aesculapiusw,151
3568946420,9
g0liath87,9
168693439,23
372610185,36
asnasasa,36
745662634901463040,95
notfound293,95
nisyyae,95
lyzakreideprinz,95
myngaml,95
selvia_natasha,95
karimnas_,95
1220331957780795392,36
03__nakula,36
ahmad_bellamy,36
cakkhum,36
kangmirdja,36
__anakkolong,36
1091583301540696064,152
dramaslyfe,152
1088374202183241728,34
diansandiu,34
497641112,153
miskintv_,153
972894837254049792,48
marsusuka,48
alisyarief,0
1546669442595074048,1
1750546297436987392,154
objektfarmer,154
817345743367192576,1
1133439062251978752,25
1513694552443727872,95
singa_nala,95
1425273536965316608,48
ranikancana,48
karina_wung,48
1685182301800656896,1
1765808882566541312,155
dhinda_8,155
1621853978261848064,156
ericanakbontot,156
1495998203157938176,157
dianonno,157
949525285828833280,3
ericstrada68660,3
125278456,16
bocoraluspol,16
520013591,58
1079406024220540928,158
luphsafi,158
870175153644343296,14
joe_web3_,14
1088861918834520064,27
1545575117702545408,159
itikrel,159
1509139046454337536,160
apelitubuahygy,160
nisal00,160
rekamdigital_,160
389010886,14
decentralpapi,14
2483247619,2
siaappsalahhh,2
1524941291272171520,42
missae92,42
1603237585434075136,46
mdyptrr,46
feriamsari,46
2656863672,1
muwgort,1
1364498812513841152,1
1437695215423287296,161
yourfvrthello,161
starryglowup,161
bigalphaid,161
1616443014301519872,1
1963491465784692736,12
jateng_twit,162
1254929201334894592,12
2489397326,90
randika97165300,90
m45broo_,90
1554008085634912256,163
itsquaileggs,163
1906033139870494720,34
bbcindonesia,34
1882746592408813568,164
ashlith,164
1655475152937951232,165
zakiiyah_an,165
1214036437382750208,2
208864321,40
1771257340521771008,1
budimandjatmiko,1
1650029823824400384,95
1848659256679313408,1
neveral0nely___,12
1136642878862573568,62
irfanmdywns,62
wahkerensih,62
1521726726384275456,23
zrep2024,23
1069543625762136064,50
1794194062578499584,18
v1scabrca10,18
1372947313140756480,166
sunghooneyyy__,166
1141477875381485568,105
namuscheek,105
1849799976618164224,23
336507875,62
1575799515105603584,16
708312001970212864,167
soedlen,167
gumpnhell,65
1044619288017944576,168
gfe_27,168
officialvpc,168
817148024648388608,2
basebdg,2
1720397904139960320,14
0xalpco,14
361723896,169
lembagakeris,169
806861311145603072,170
nissdam,170
paltiwest2024,12
1599215705412448256,0
hasanudinsajid,9
1363611445598900224,171
rora_maraisrf,171
1534728469044572160,172
tothemooniight,172
1252434807029547008,46
1471806506592968704,173
gojo_satorouuu,173
1796924221362491392,17
1591116366,25
609255845,25
mata__netizen62,36
kenhans03,36
100806141,174
food_fess,174
1690691369319485440,175
twitskoo,175
1686440344089665536,50
1767133841284849664,17
1356480730730139648,9
kementan,9
96902999,23
intel_imut,23
274842835,36
marahichsan,36
detuective,19
1258012718788784128,176
sandika_noor,176
1831360722858913792,161
intinyadeh,161
1738204447090864128,24
direktoridosen,24
543334714,17
raretiopoopo,17
1117108227785650176,177
java_gui,177
1726032239748931584,36
muliawanrina,25
1170937101522632704,105
164370154,1
liputan6dotcom,1
1622926379703750656,24
347281861,25
1696051648949551104,40
1959097086605148160,178
dejeapoo,178
887505512106868736,50
942773355240767488,23
469895835,16
72170613,23
1422133217977454592,77
tukang_rejceh,77
1471458210586324992,165
1832779318415736832,19
hrdbacot,19
1163772098608685056,2
imelia9_,2
1753142027376836608,179
d_kikys,179
1218556702942871552,180
ommi_siregar,180
891664062337044480,1
1261337141142929408,181
callmejejun,181
1388444875251535872,182
lingloch,182
226589813,34
1606126142406004736,1
1950879357637156864,183
afternoonifieds,183
1209067330904346624,184
utbkcak,184
233470506,185
srimulyani990,185
1646345540333105152,1
1072428401527410688,27
1537314103269548032,25
829747936003108864,25
1904014803041206272,40
sumseltren,40
1716640002506199040,186
sipemara,186
adorabletanz,186
1831597288755752960,36
60903482,36
tsamaradki,36
1723514270724595712,17
1261586032555732992,1
1807233625265700864,25
1653948735515394048,13
1604149685651795968,36
2857561854,27
hypmetalkid,27
txtdrkuliner,27
1817355887172042752,187
toucthy,187
170177558,1
112049860,12
1525604516514566144,3
1613125634200571904,1
1315622738,105
1304038573268586496,36
hemaviton99,36
954978865473994752,34
1641792445083164672,1
964311177080733696,188
pecintatokoijo,188
1438657835299008512,189
peachtaschio,189
226452165,1
1194226675950616576,137
601828510,62
its_reeeeee,62
1740957962556841984,14
1603610075595407360,40
peliharaannywwx,40
1289524479098384384,36
1035535952788115456,9
jatmiko99604253,9
darekarendy,9
dedynurpalakka,9
1289190442240622592,25
1102591931102576640,24
adamvelcro,24
arrie71732049,24
1404476498359160832,190
ngapawoi,190
1074795751610277888,46
jekyll_sf,46
bumnbersatu,46
4847867201,191
youngseown,191
1939325395343728640,19
1254035776322453504,16
1734267025583939584,105
kapalapilsener,105
luvdscko,105
1384976284707528704,105
toorusamiya,105
godvaleyy,12
396369993,192
ffoodfess,192
1423349409840975872,46
100964300,1
ubegebe1,1
980619186182344704,77
ninfaptr,77
70757995,18
herselaahikmah,12
buzzboyz28,12
875494546855137280,48
1528934894164152320,36
ohceanics,23
341267493,6
1990335948543131648,193
dainowsa,193
1089815412596867072,40
sarah_pndjtn,40
3223035314,27
1586558332521050112,3
yoes33687368,3
90833354,23
junkcok,23
1563545945622474752,194
raturatt,194
eleanorr234,194
59935830,195
dokterbaik_com,195
1213281894260822016,27
1032280085884092416,77
sumandogaek,77
1398314676593643520,25
985152391774285824,17
1750940505901510656,196
srik4ndimuslim2,196
1552275713406877696,1
1450056695728664576,50
599857567,197
c_onieljkt48,197
919616833002512384,33
djolafix,33
nditnb,33
verenasusilowa1,33
puspaswarna,33
ayamsegar3,48
772051172,46
1373921084873928704,1
pimpinan_pusat,1
bezzgall,1
1506178382962122752,180
1340576950381760512,48
804682057,198
pansadictive,198
1606809859072348160,1
nusantarahukum,1
1430913775083745280,48
uki23,48
1627613239508074496,6
zarryhendrik,6
kozirama,6
1693119693824126976,199
ime_indonesia,199
1769802903949312000,200
wolfterfly,200
292826573,1
188519271,25
jackjackparrr,25
1155129030024105984,153
131747255,33
milantoon,33
unclecminho,33
1228648265710632960,19
1276831038178594816,201
meipri,201
1756006651545497600,14
michigan409,14
624509339,1
welingsae,1
nanananaaa99,1
1432734922989441024,34
3022824320,36
198888246,1
117685474,3
413044545,105
1483614343195693056,202
amier0110,202
widassatyo,202
229317637,203
rwwreborn,203
musyaffa2013,203
3523957633,1
132078023,40
1840136162436100096,62
1603758737239396352,1
agusyudhoyono,1
1650869389007400960,23
joyyzoldyck,23
skyeblueberry,23
satriodicaprio,23
kmjeian,23
1369533748417495040,1
masbro_back,1
169355483,12
1603718684148903936,1
1484100932443185152,204
prabowoisme,204
93648019,9
poljokesid,9
1752338656856322048,27
586557006,205
smeun,205
827913988235145216,206
blvdppw,206
1550848018185797632,1
sclgysm,1
missamiyaa,1
hipohan,12
kdmp,12
mbg,12
156614803,207
remotivi,207
859308747755184128,2
anwaribrahim,23
1666263109223448576,50
131116381,27
1350439919781466112,208
membacalangit,208
223785448,16
1706983477693018112,209
juniorabeii,209
1723182742807121920,23
1271319727751610368,1
anitaharun_,1
831095725844942848,210
brideofsungjin,210
93847582,5
dinadimu,5
1093123825208705024,25
1820430201182117888,211
hwanginfak,211
1682902327727095808,162
154836372,212
kio_kio7,212
natyapi,212
1850815838728990720,50
346287892,55
1035069562063020032,50
1919669324224331776,27
neverzunt,27
77417133,213
levi_jkt48,213
193623463,36
_queen_putri,23
lintang_ayoe,36
1760996477307113472,1
ufa_fatimah,1
paksiraras,1
1438171184760168448,214
chillmampus,214
2227912333,14
dapriext,14
leogusta_,25
b3n1n9_17,12
novalassegaf,65
peiplename,24
739699327,1
mgratis275424,62
badangizin39523,62
1182194227,1
1062892109168963584,66
humaspoldajatim,66
polisi_indonesia,66
spripimpoldajatim,66
alexsandysiregar,66
retylexoo,66
1167432615051182080,161
bunnymyeonhoney,161
416082565,215
cakd3pp,215
srapiyudin,12
1730521502217572352,50
darsalexandra1,50
1537839396430675968,216
synthreb3l,216
578216387,25
1910344195556134912,27
1517509752301166592,217
_charmlessboy,217
rahaszianegara,217
957675083081826304,29
minesuga27,29
1604692705472233472,9
detikfinance,9
702160919921618944,202
1332580391308259328,218
rena_mareta,218
1640874203997147136,36
islah_bahrawi,46
puanmaharani_ri,1
1131236317403107328,17
1054379797,219
gouhyp,219
catchmeupco,219
1261333872156872704,13
1748037418413129728,220
poconxg,220
1777878267262812160,33
481928614,17
1892387797342048256,27
2714590921,221
cholilnafis,221
1454732973123702784,14
prestigecryptt,14
1512997637552750592,14
crownworth7,14
1704424019095851008,1
nozelism,1
1016390538793140224,1
1735257669299064832,14
stan_steps,14
39700089,4
1511773223909675008,50
1154478487,16
manse_mangat,16
1855214787694858240,17
1600525309929197568,65
yusufwi70781128,65
138979913,46
armanma98025860,46
1636905071740076032,1
whiz_id999,12
1257933954490839040,1
buddhisgl,1
1166311360898072576,1
1792479749853659136,9
titieksoeharto,12
florieliciouss,9
khoirilanwar_,9
irawanrommi,9
1843984478592704512,34
spotiviy,25
1725137839585918976,25
1687746496039628800,25
1143137431694139392,222
togameku,222
106365759,2
fajarnugros,2
agungla03498428,23
35625614,3
toe_giman,3
1422883622000893952,105
rienwave,105
evewhobakes,105
innuendo01,105
1163269937806184448,105
niaanya,105
antotbl,105
yanamanaya,12
1666353621842395136,23
1944769341343584256,50
1450837512625090560,27
1045407560415604736,223
seojuseyo,223
cryb4byqueen,223
1557451714143600640,1
1358433902289842176,17
1862131744503455744,224
kmeilyta,224
1369142343203385344,225
yayagitulahh,225
kenekadit_,225
malrvelou,225
sbyfess,225
1299302763784843264,27
mediaporospapua,132
papuabuser,132
1475379724968808448,226
sh3eeeeeeshh,226
amewicanidiot,226
bofurin_fess,40
2882418055,227
absnthmind,227
1287057395202613248,14
ayodelejac29715,14
1816053576856403968,228
ramaarsy1,228
1496895233484681216,229
devidekker,229
sugondese6666,229
1775998838538711040,40
manutd,40
qf,40
1604088193196109824,12
king_speakup,12
xijinpingxpage,12
worldbank,12
doankwarto,65
1452490760624869376,230
seputarmadrid,230
112540147,46
adiprayitno_20,46
83365095,231
drynasse,231
mfaizghifari,231
1194978102029340672,232
oxlamasia,232
1092711523,25
2909419675,233
ayanapunya,233
1114599489208180736,34
vivacoid,34
203373589,119
1018827799610601472,28
aniesbaswedan,28
1552961522909216768,162
lunatictwister,162
1919136223584792576,48
evidrajat,48
858133348383768576,234
raihanaulia_rar,234
1906946432,19
194987317,1
2311089205,27
witasyahila,27
zakyfuad689604,27
410807869,1
554081921,3
1074950785320939520,19
potatoogurl,19
1640812467902205952,169
1417812768992858112,3
bbjayamotor,3
3543516734,235
birbintank,235
299732033,36
anggi_hahahihii,36
1254350464247726080,105
1183391828071968768,236
37_pedroacosta,236
1284518394880864256,237
bergelora,237
2558658043,36
notonogoro67941,36
605306840,238
panah_bintangku,238
972406879,239
sparkeene,239
131875644,240
obiwan_catnobi,240
1809595730446958592,27
1817109152281559040,12
txtdrpemerintah,12
airantiereal,23
1691877737445863424,3
1923247605112340480,14
tesebellaa,14
1725910340335230976,24
eyesofaquila,24
dekaxn,24
gasbeggar,24
1517917957049167872,40
1972292005,48
maudy_apain,48
14119874,241
twcssss19975,241
1984209475407159296,242
fitriufaizah,242
